geometry,crs,temporal_extent,EC_hcat_n,id,backend_name,status,start_time,running_start_time,cpu,memory,duration
"POLYGON ((26.92823823 57.91994291, 26.92845798 57.92010664, 26.92853698 57.92017428, 26.92858056 57.92022798, 26.92864459 57.92031625, 26.92874386 57.92041652, 26.92883409 57.92049455, 26.92892921 57.92055843, 26.93147889 57.91771496, 26.93148676 57.91770555, 26.93124696 57.91763584, 26.9307292 57.91749525, 26.93040024 57.91740722, 26.92816974 57.91989638, 26.92823823 57.91994291))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-250523094750432baf942d239442f06c,cdse,finished,2025-05-23T09:47:50Z,,168.870104899 cpu-seconds,1132107.134765625 mb-seconds,123 seconds
"POLYGON ((24.55664049 59.35187675, 24.55664043 59.3518731, 24.55664156 59.3518588, 24.55663878 59.35184716, 24.55663564 59.35182644, 24.5566366 59.3518144, 24.55663802 59.35180361, 24.55663691 59.35179241, 24.55663892 59.35177932, 24.55664003 59.35176264, 24.55664053 59.35175009, 24.55664179 59.3517415, 24.55664444 59.35173107, 24.55664702 59.3517186, 24.5566509 59.3517057, 24.55665078 59.35169105, 24.5566534 59.35167995, 24.55665676 59.35166982, 24.55666132 59.3516506, 24.55666399 59.35164236, 24.55666804 59.35163305, 24.55667554 59.35161902, 24.55668133 59.35160644, 24.55668225 59.35159653, 24.55668438 59.35158508, 24.55668544 59.35157349, 24.55668392 59.35151123, 24.55670761 59.3514124, 24.55672823 59.3512278, 24.5567612 59.35100603, 24.55677013 59.35093892, 24.55676717 59.35090551, 24.55657238 59.35098268, 24.55657198 59.35098305, 24.5563947 59.3519472, 24.55662971 59.35193783, 24.55663414 59.35192964, 24.55663876 59.3518996, 24.55664059 59.35188397, 24.55664049 59.35187675))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-25052309480742508f158e885e6a7bc0,cdse,finished,2025-05-23T09:48:07Z,,167.030492303 cpu-seconds,946286.80078125 mb-seconds,134 seconds
"POLYGON ((23.03543225 58.53201079, 23.03543471 58.53201097, 23.03545563 58.53193947, 23.03545636 58.53193983, 23.03548916 58.53186092, 23.03552112 58.53181217, 23.03567985 58.53134134, 23.03363761 58.5311724, 23.03351106 58.53119457, 23.03347369 58.53121138, 23.03344788 58.5312201, 23.03342787 58.53122441, 23.03340794 58.53122575, 23.03338797 58.53122857, 23.03336521 58.53122988, 23.03334252 58.53122823, 23.03332263 58.53122808, 23.03325457 58.53122311, 23.03323197 58.53121848, 23.03321338 58.53121555, 23.03320437 58.53121618, 23.03306413 58.5312057, 23.03296535 58.53121984, 23.0329157 58.53126256, 23.03286403 58.53137174, 23.03286101 58.53138175, 23.03280683 58.53152036, 23.03271288 58.53179102, 23.03250989 58.5324877, 23.03243915 58.53270547, 23.0351965 58.53282938, 23.03543225 58.53201079))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-2505230948244d9da1e1ed845ae786aa,cdse,finished,2025-05-23T09:48:24Z,,177.640452705 cpu-seconds,821055.744140625 mb-seconds,127 seconds
"POLYGON ((24.54440459 59.25171536, 24.54439138 59.2517493, 24.544407 59.25175462, 24.54444078 59.25172553, 24.54443131 59.25172231, 24.54737785 59.24946193, 24.54708956 59.24936625, 24.54593887 59.24923606, 24.54539743 59.24917575, 24.54513784 59.24983197, 24.54440459 59.25171536))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-2505230948404acfb6d08c083bb1d368,cdse,finished,2025-05-23T09:48:40Z,,112.19843260799999 cpu-seconds,545842.333984375 mb-seconds,115 seconds
"POLYGON ((24.58255816 59.25572876, 24.58252244 59.25576513, 24.58242774 59.25584417, 24.58240385 59.25586723, 24.5824 59.2558881, 24.58240728 59.25589786, 24.58243995 59.25591167, 24.58251764 59.25594089, 24.58257795 59.25596257, 24.58262157 59.25597527, 24.58299395 59.25610446, 24.5832181 59.25619074, 24.58334607 59.25624715, 24.58342741 59.25629995, 24.58346338 59.25633599, 24.58346844 59.25634793, 24.58346638 59.25635042, 24.58347152 59.25637517, 24.58343124 59.25642318, 24.5832917 59.25656536, 24.58327631 59.2565769, 24.58327197 59.25658235, 24.58313124 59.25668564, 24.58305064 59.25672885, 24.58286405 59.25678184, 24.58267676 59.25683117, 24.58258514 59.25686082, 24.58254249 59.25688338, 24.58252416 59.25690355, 24.5825229 59.25692377, 24.58255128 59.25698063, 24.58321899 59.25741653, 24.58323964 59.25742964, 24.58360176 59.25766556, 24.58448887 59.25825668, 24.58470714 59.25841268, 24.58486893 59.25851898, 24.58632595 59.2586799, 24.58633528 59.25863471, 24.58636833 59.25864096, 24.58636974 59.25863966, 24.58639992 59.25864693, 24.58646566 59.25865177, 24.58651129 59.25865156, 24.58656226 59.25865422, 24.58660187 59.25856789, 24.5867143 59.25830299, 24.5868066 59.25809207, 24.58687437 59.25795163, 24.58699001 59.25773821, 24.58701357 59.25761115, 24.58330923 59.25526447, 24.58308524 59.25529604, 24.58294777 59.25533969, 24.58283858 59.25541748, 24.58273588 59.25552499, 24.58266601 59.25562163, 24.58256334 59.25572274, 24.58255816 59.25572876))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-2505230949004202aaa0e047649e3bbe,cdse,finished,2025-05-23T09:49:00Z,2025-05-23T09:51:45Z,124.79403335300002 cpu-seconds,920615.0625 mb-seconds,127 seconds
"POLYGON ((25.45059328 58.15444129, 25.45063731 58.15441446, 25.45086321 58.15427462, 25.45048234 58.15411303, 25.45017691 58.15398974, 25.44993104 58.15388577, 25.44940411 58.15418559, 25.44982281 58.15435269, 25.45019563 58.15449848, 25.45019288 58.15450038, 25.45020523 58.15450531, 25.450366 58.1545824, 25.45058052 58.15444961, 25.45059328 58.15444129))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-250523094916469cbabc52073d3ec5a0,cdse,finished,2025-05-23T09:49:17Z,2025-05-23T09:51:45Z,126.33206 cpu-seconds,820497.5859375 mb-seconds,124 seconds
"POLYGON ((25.78558625 58.83768046, 25.7856111 58.83768012, 25.78562137 58.83767261, 25.78567454 58.83753192, 25.7856707 58.83752644, 25.78563109 58.83751594, 25.78556279 58.83750031, 25.78553084 58.83750075, 25.78550254 58.83750298, 25.78543276 58.837666, 25.78544033 58.83767511, 25.78544752 58.83767685, 25.78547976 58.83768193, 25.78552955 58.83768308, 25.78558625 58.83768046))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-25052309493346379e13d9d119e05325,cdse,finished,2025-05-23T09:49:33Z,2025-05-23T09:51:46Z,88.905023453 cpu-seconds,561387.548828125 mb-seconds,115 seconds
"POLYGON ((24.53412315 59.25222566, 24.5322492 59.25212775, 24.53129383 59.252849, 24.53111816 59.25295427, 24.53099687 59.25308911, 24.5296822 59.25402706, 24.53124942 59.25457381, 24.53134562 59.25460313, 24.53139521 59.25462076, 24.53201025 59.25483255, 24.53287975 59.25418572, 24.53347713 59.25372901, 24.53401458 59.25332933, 24.53462547 59.25285477, 24.53726521 59.25094474, 24.53862005 59.24991807, 24.53626979 59.24913269, 24.53483605 59.25018746, 24.53327011 59.25135936, 24.53436125 59.2514303, 24.53412315 59.25222566))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-2505230949504c6384d4a495e3832729,cdse,finished,2025-05-23T09:49:50Z,2025-05-23T09:51:46Z,290.307090699 cpu-seconds,2537890.341796875 mb-seconds,195 seconds
"POLYGON ((26.02975603 58.48202123, 26.02986464 58.48203514, 26.02992424 58.48203333, 26.02998023 58.48202636, 26.03003733 58.48200982, 26.03008242 58.48198652, 26.03012234 58.48194406, 26.03044475 58.48153798, 26.03129133 58.48038638, 26.02862994 58.47979996, 26.02748531 58.48130461, 26.02761975 58.48128538, 26.02777309 58.4812824, 26.02789839 58.48127409, 26.02800092 58.48127797, 26.02829681 58.48131524, 26.02849364 58.48135899, 26.028705 58.48141366, 26.02874703 58.48143698, 26.02875663 58.48145237, 26.02875295 58.48148206, 26.02866 58.48162616, 26.02862795 58.48173053, 26.02865534 58.48177893, 26.02869732 58.48180021, 26.02975603 58.48202123))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-250523095007465b9bc9fcb21efe2c52,cdse,finished,2025-05-23T09:50:07Z,2025-05-23T09:51:46Z,122.459985815 cpu-seconds,725389.453125 mb-seconds,150 seconds
"POLYGON ((25.11915033 59.26681075, 25.11917935 59.26682539, 25.11918829 59.2668331, 25.11919083 59.2668442, 25.11918755 59.26686272, 25.11914206 59.2669113, 25.119099 59.26697392, 25.1190539 59.26703455, 25.11898077 59.26713758, 25.11879111 59.26739624, 25.11868445 59.26755378, 25.11866468 59.26760917, 25.11866625 59.26765735, 25.11866622 59.26771658, 25.11869328 59.26776455, 25.11871479 59.2678226, 25.11872649 59.26788073, 25.11872397 59.26792393, 25.11876348 59.26799287, 25.11879783 59.2680237, 25.11884404 59.26805744, 25.1188709 59.26809938, 25.11889094 59.26817251, 25.11892022 59.26822848, 25.11894219 59.2682655, 25.12070899 59.2668844, 25.12026722 59.2666867, 25.11967803 59.26641549, 25.11931156 59.2666975, 25.11916339 59.26681494, 25.11913032 59.26680392, 25.11915033 59.26681075))",EPSG:4326,"['2024-01-01', '2024-03-01']",carrots_daucus,j-25052309502340279eaa02889f03cc4e,cdse,finished,2025-05-23T09:50:23Z,,123.113626566 cpu-seconds,485145.5 mb-seconds,128 seconds
